08/03/2015,24122475214900018800284,"GYROS PLACE SEATTLE WA","SEATTLE       WA ",-10.63
08/03/2015,24761975214400366016802,"CENTURY THEATRES 1118 BELLEVUE WA","BELLEVUE      WA ",-11.65
08/03/2015,24164075213741183067459,"FEDEX 807046669913 800-4633339 TN","800-4633339   TN ",-36.66
07/31/2015,24792625211207499702100,"ZARA USA 6424 SEATTLE WA","SEATTLE       WA ",-32.77
07/30/2015,24431065211200531700089,"NOODLE ZONE SEATTLE WA","SEATTLE       WA ",-8.60
07/29/2015,24013395209002701044111,"AEG LIVE BUMBERSHOOT STRAINGERTICKWA","STRAINGERTICK WA ",-93.00
07/28/2015,24431065209286088800228,"CHIPOTLE 1363 SEATTLE WA","SEATTLE       WA ",-9.70
07/27/2015,24690295207980003729196,"PHOBULOUS MERCER ISLANDWA","MERCER ISLAND WA ",-15.35
07/27/2015,24122475207900012300397,"TASTE OF ASIA SEATTLE WA","SEATTLE       WA ",-9.96
07/25/2015,20606005710038855034852,"Online payment from SAV 1","",444.16
07/25/2015,24122475205900018200411,"GYROS PLACE SEATTLE WA","SEATTLE       WA ",-13.92
07/25/2015,24692165205000291199484,"SQ *OASIS Seattle WA","Seattle       WA ",-12.83
07/24/2015,24692165205000211184905,"SQ *OASIS Seattle WA","Seattle       WA ",-3.00
07/24/2015,24431065204331900092318,"ALASKA AIR 0277628787994SEATTLE WA","SEATTLE       WA ",-127.10
07/24/2015,24717055204872043120991,"DELTA AIR 0067628787035BELLEVUE WA","BELLEVUE      WA ",-127.10
07/23/2015,24431065204286088800017,"CHIPOTLE 1363 SEATTLE WA","SEATTLE       WA ",-9.70
07/22/2015,24431065203286088803129,"CHIPOTLE 1363 SEATTLE WA","SEATTLE       WA ",-9.70
07/22/2015,24692165202000039805775,"STARBUCKS #00113 SEATTLE Seattle WA","Seattle       WA ",-8.22
07/22/2015,24122475202900011900382,"TASTE OF ASIA SEATTLE WA","SEATTLE       WA ",-11.34
07/21/2015,20206005710028514437509,"Online payment from CHK 1","",429.17
07/21/2015,24761975201118921010301,"ERENTERPLAN-AMIG-CN 888-205-8118 CA","888-205-8118  CA ",-148.00
07/20/2015,24692165201000208263252,"GREAT CLIPS 8991 MERCER ISLANDWA","MERCER ISLAND WA ",-20.00
07/20/2015,24251385200980002167791,"TOP GUN SEAFOOD RESTAURANBELLEVUE WA","BELLEVUE      WA ",-26.38
07/20/2015,24251385200980000998692,"JEWEL OF INDIA SEATTLE WA","SEATTLE       WA ",-11.89
07/20/2015,24251385200980000713695,"ALADDIN FALAFEL CORNER SEATTLE WA","SEATTLE       WA ",-10.00
07/20/2015,24906415200017514709457,"ADY*Spotify USA 646-8375380 NY","646-8375380   NY ",-5.46
07/20/2015,24019515200727400093136,"EARLS ON THE AVE SEATTLE WA","SEATTLE       WA ",-7.00
07/20/2015,24792625200691136539459,"RITE AID STORE 5197 MERCER ISLANDWA","MERCER ISLAND WA ",-50.86
07/18/2015,24431065199286088805146,"CHIPOTLE 1363 SEATTLE WA","SEATTLE       WA ",-11.89
07/18/2015,24692165199000377303719,"SQ *MOLLY MOON'S CAPITOL Seattle WA","Seattle       WA ",-4.16
07/18/2015,24707805198980145897479,"ROGUE FITNESS 614-358-6190 OH","614-358-6190  OH ",-125.00
07/18/2015,24122475198900011700861,"TASTE OF ASIA SEATTLE WA","SEATTLE       WA ",-8.60
07/16/2015,24493985197206899000220,"MRS FIELDS COOKIES TUKWILA WA","TUKWILA       WA ",-3.99
07/16/2015,24755425196271961975668,"SUSHI KUDASAI SEATTLE WA","SEATTLE       WA ",-23.51
07/15/2015,24431065196286088804456,"CHIPOTLE 1363 SEATTLE WA","SEATTLE       WA ",-9.70
07/15/2015,24492155196637003535945,"SHERLOCKED SEATTLE SHERLOCKEDSEAWA","SHERLOCKEDSEA WA ",-30.66
07/15/2015,24765175195980000723794,"TERIYAKI EXPRESS BELLEVUE WA","BELLEVUE      WA ",-10.50
07/15/2015,24765175195980000723794,"TERIYAKI EXPRESS BELLEVUE WA","BELLEVUE      WA ",-5.20
07/15/2015,24692165195000620653195,"STARBUCKS #00113 SEATTLE Seattle WA","Seattle       WA ",-8.22
07/14/2015,19506005720014896748751,"Online payment from SAV 1","",415.29
07/14/2015,24431065195286088803400,"CHIPOTLE 1363 SEATTLE WA","SEATTLE       WA ",-9.70
07/14/2015,74143615195000137543222,"FOREIGN TRANSACTION FEE","",-0.45
07/14/2015,74143615195000137543222,"GAMERSGATE ORDER 14456 STOCKHOLM","",-15.00
07/14/2015,24013395194001164246459,"PURPLE CAFE & WINE BAR BEBELLEVUE WA","BELLEVUE      WA ",-31.00
07/13/2015,24013395192000961592166,"LONG RESTAURANT SEATTLE WA","SEATTLE       WA ",-17.34
